date,sample_period,village,household,specimen_id,sample_id,cryo_id,coliform,chicken_breed,box_number,isolate_number,drug_code,drug_name,drug_class,halo_ring,round_halo_ring,drug_result,result_category
10-Jun-15,0,1,1,15-6-T-H1-B2-1,C1B2.1,2.1,0,1,,1,CF,cephalothin,cephalosporin,0,0,0,susceptible
10-Jun-15,0,1,1,15-6-T-H1-B2-1,C1B2.1,2.1,0,1,,1,G,sulfisoxazole,sulfonamide,0,0,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-C8-2,2C1P8.2,7.2,mu_pos,0,1,2,GM,gentamicin,aminoglycoside,15.55,16,0,susceptible
2-Jul-15,1,1,4,15-7-T-H4-C6-3,2C4P6.3,40.3,mu_pos,0,2,3,GM,gentamicin,aminoglycoside,15.55,16,0,susceptible
12-Jun-15,0,0,1,15-6-P-H1-C3-2,C1P3.2,73.2,mu_pos,0,,2,S,streptomycin ,aminoglycoside,15.55,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C10-1,2C9P10.1,79.1,mu_pos,0,4,1,S,streptomycin ,aminoglycoside,15.57,16,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C8-2,2C3P8.2,32.2,mu_pos,0,2,2,GM,gentamicin,aminoglycoside,15.58,16,0,susceptible
12-Jun-15,0,1,10,15-6-T-H10-C3-1,C10P3.1,68.1,mu_pos,0,,1,S,streptomycin ,aminoglycoside,15.59,16,0,susceptible
2-Jul-15,1,1,3,15-7-T-H3-C9-1,2C3P9.1,33.1,mu_pos,0,2,1,S,streptomycin ,aminoglycoside,15.59,16,0,susceptible
12-Jun-15,0,0,6,15-6-P-H6-C4-2,C6P4.2,99.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,15.6,16,0,susceptible
2-Jul-15,1,1,2,15-7-T-H2-C3-2,2C2P3.2,21.2,mu_pos,0,1,2,S,streptomycin ,aminoglycoside,15.6,16,0,susceptible
12-Jun-15,0,1,7,15-6-T-H7-C3-2,C7P3.2,53.2,mu_pos,0,,2,GM,gentamicin,aminoglycoside,15.63,16,0,susceptible
2-Jul-15,1,1,1,15-7-T-H1-C8-1,2C1P8.1,7.1,mu_pos,0,1,1,GM,gentamicin,aminoglycoside,15.63,16,0,susceptible
2-Jul-15,1,1,6,15-7-T-H6-B6-2,2C6B6.2,53.2,mu_pos,1,3,2,S,streptomycin ,aminoglycoside,15.63,16,0,susceptible
2-Jul-15,1,1,9,15-7-T-H9-C6-3,2C9P6.3,75.3,mu_pos,0,4,3,S,streptomycin ,aminoglycoside,15.64,16,0,susceptible
12-Jun-15,0,0,1,15-6-P-H1-C5-2,C1P5.2,75.2,mu_pos,0,,2,S,streptomycin ,aminoglycoside,15.65,16,0,susceptible
12-Jun-15,0,0,6,15-6-P-H6-C2-1,C6P2.1,97.1,mu_pos,0,,1,S,streptomycin ,aminoglycoside,15.66,16,0,susceptible
12-Jun-15,0,0,7,15-6-P-H7-C5-3,C7P5.3,105.3,mu_pos,0,,3,S,streptomycin ,aminoglycoside,15.66,16,0,susceptible
2-Jul-15,1,1,2,15-7-T-H2-C1-3,2C2P1.3,20.3,mu_pos,0,1,3,S,streptomycin ,aminoglycoside,15.66,16,0,susceptible
12-Jun-15,0,0,9,15-6-P-H9-C1-1,C9P1.1,111.1,mu_pos,0,,1,GM,gentamicin,aminoglycoside,15.67,16,0,susceptible
